season,league,team_name,team_abbreviation,playoffs,games_played,minutes_played,field_goals,field_goal_attempts,field_goal_percentage,three_pointers,three_point_attempts,three_point_percentage,two_pointers,two_point_attempts,two_point_percentage,free_throws,free_throw_attempts,free_throw_percentage,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
2023,NBA,Utah Jazz,UTA,False,52.0,12555.0,2193.0,4633.0,0.473,755.0,2052.0,0.368,1438.0,2581.0,0.557,969.0,1236.0,0.784,604.0,1698.0,2302.0,1345.0,356.0,249.0,790.0,1082.0,6110.0
2023,NBA,Washington Wizards,WAS,False,50.0,12050.0,2091.0,4359.0,0.48,561.0,1596.0,0.352,1530.0,2763.0,0.554,907.0,1167.0,0.777,476.0,1743.0,2219.0,1260.0,340.0,271.0,695.0,973.0,5650.0
2023,NBA,League Average,,False,51.0,12385.0,2135.0,4515.0,0.473,630.0,1750.0,0.36,1505.0,2764.0,0.545,948.0,1216.0,0.78,538.0,1690.0,2227.0,1279.0,374.0,241.0,737.0,1041.0,5848.0
2022,NBA,Atlanta Hawks,ATL,True,82.0,19705.0,3401.0,7241.0,0.47,1056.0,2821.0,0.374,2345.0,4420.0,0.531,1485.0,1829.0,0.812,823.0,2783.0,3606.0,2017.0,587.0,348.0,972.0,1534.0,9343.0
2022,NBA,Boston Celtics,BOS,True,82.0,19905.0,3341.0,7167.0,0.466,1085.0,3044.0,0.356,2256.0,4123.0,0.547,1397.0,1713.0,0.816,863.0,2915.0,3778.0,2036.0,591.0,478.0,1118.0,1521.0,9164.0
2022,NBA,Brooklyn Nets,BRK,True,82.0,19755.0,3442.0,7251.0,0.475,940.0,2602.0,0.361,2502.0,4649.0,0.538,1434.0,1781.0,0.805,844.0,2796.0,3640.0,2071.0,582.0,448.0,1153.0,1670.0,9258.0
2022,NBA,Chicago Bulls,CHI,True,82.0,19730.0,3422.0,7127.0,0.48,872.0,2364.0,0.369,2550.0,4763.0,0.535,1436.0,1766.0,0.813,711.0,2760.0,3471.0,1958.0,585.0,336.0,1053.0,1540.0,9152.0
2022,NBA,Charlotte Hornets,CHO,False,82.0,19880.0,3508.0,7497.0,0.468,1143.0,3130.0,0.365,2365.0,4367.0,0.542,1298.0,1753.0,0.74,888.0,2767.0,3655.0,2302.0,707.0,402.0,1087.0,1629.0,9457.0
2022,NBA,Cleveland Cavaliers,CLE,False,82.0,19730.0,3255.0,6940.0,0.469,953.0,2686.0,0.355,2302.0,4254.0,0.541,1376.0,1810.0,0.76,837.0,2786.0,3623.0,2064.0,580.0,343.0,1181.0,1433.0,8839.0
2022,NBA,Dallas Mavericks,DAL,True,82.0,19755.0,3222.0,6982.0,0.461,1073.0,3063.0,0.35,2149.0,3919.0,0.548,1341.0,1739.0,0.771,759.0,2769.0,3528.0,1918.0,552.0,325.0,1025.0,1612.0,8858.0
2022,NBA,Denver Nuggets,DEN,True,82.0,19805.0,3416.0,7079.0,0.483,1039.0,2944.0,0.353,2377.0,4135.0,0.575,1372.0,1725.0,0.795,752.0,2865.0,3617.0,2279.0,592.0,305.0,1189.0,1639.0,9243.0
2022,NBA,Detroit Pistons,DET,False,82.0,19780.0,3129.0,7267.0,0.431,925.0,2838.0,0.326,2204.0,4429.0,0.498,1413.0,1806.0,0.782,900.0,2625.0,3525.0,1924.0,630.0,393.0,1163.0,1799.0,8596.0
2022,NBA,Golden State Warriors,GSW,True,82.0,19730.0,3323.0,7087.0,0.469,1176.0,3231.0,0.364,2147.0,3856.0,0.557,1280.0,1665.0,0.769,800.0,2930.0,3730.0,2223.0,719.0,372.0,1221.0,1723.0,9102.0
2022,NBA,Houston Rockets,HOU,False,82.0,19755.0,3229.0,7083.0,0.456,1105.0,3170.0,0.349,2124.0,3913.0,0.543,1434.0,2010.0,0.713,786.0,2660.0,3446.0,1932.0,600.0,382.0,1351.0,1692.0,8997.0
2022,NBA,Indiana Pacers,IND,False,82.0,19880.0,3398.0,7338.0,0.463,997.0,2899.0,0.344,2401.0,4439.0,0.541,1347.0,1754.0,0.768,925.0,2671.0,3596.0,2081.0,582.0,457.0,1183.0,1675.0,9140.0
2022,NBA,Los Angeles Clippers,LAC,False,82.0,19780.0,3285.0,7170.0,0.458,1047.0,2802.0,0.374,2238.0,4368.0,0.512,1273.0,1606.0,0.793,747.0,2860.0,3607.0,1969.0,608.0,406.0,1126.0,1528.0,8890.0
